"No","大分類","小分類","設問主旨","難易度","設問内容"
"link:ans_preprocess_knock_SQL.html#s-001[S-001,window=ANS100]","列に対する操作","全項目指定","・全項目を指定行数抽出する","★","レシート明細テーブル（receipt）から全項目を10件抽出し、どのようなデータを保有しているか目視で確認せよ。"
"link:ans_preprocess_knock_SQL.html#s-002[S-002,window=ANS100]","列に対する操作","列指定","・特定の列を抽出する","★","レシート明細のテーブル（receipt）から売上日（sales_ymd）、顧客ID（customer_id）、商品コード（product_cd）、売上金額（amount）の順に列を指定し、10件表示させよ。"
"link:ans_preprocess_knock_SQL.html#s-003[S-003,window=ANS100]","列に対する操作","列名変更","・指定列の列名を変更する","★","レシート明細のテーブル（receipt）から売上日（sales_ymd）、顧客ID（customer_id）、商品コード（product_cd）、売上金額（amount）の順に列を指定し、10件表示させよ。ただし、sales_ymdはsales_dateに項目名を変更しながら抽出すること。"
"link:ans_preprocess_knock_SQL.html#s-004[S-004,window=ANS100]","行に対する操作","単一条件","・特定条件に合致する行を抽出(=,>,<)","★","レシート明細のテーブル（receipt）から売上日（sales_ymd）、顧客ID（customer_id）、商品コード（product_cd）、売上金額（amount）の順に列を指定し、以下の条件を満たすデータを抽出せよ

* 顧客ID（customer_id）が""CS018205000001""
"
"link:ans_preprocess_knock_SQL.html#s-005[S-005,window=ANS100]","行に対する操作","複数条件","・複数条件に合致する行を抽出する","★","レシート明細のテーブル（receipt）から売上日（sales_ymd）、顧客ID（customer_id）、商品コード（product_cd）、売上金額（amount）の順に列を指定し、以下の条件を満たすデータを抽出せよ。

* 顧客ID（customer_id）が""CS018205000001""
* 売上金額（amount）が1,000以上
"
"link:ans_preprocess_knock_SQL.html#s-006[S-006,window=ANS100]","行に対する操作","複数条件","・複数条件に合致する行を抽出する","★","レシート明細テーブル（receipt）から売上日（sales_ymd）、顧客ID（customer_id）、商品コード（product_cd）、売上数量（quantity）、売上金額（amount）の順に列を指定し、以下の条件を満たすデータを抽出せよ。

* 顧客ID（customer_id）が""CS018205000001""
* 売上金額（amount）が1,000以上または売上数量（quantity）が5以上
"
"link:ans_preprocess_knock_SQL.html#s-007[S-007,window=ANS100]","行に対する操作","範囲指定","・複数条件に合致する行を抽出する","★","レシート明細のテーブル（receipt）から売上日（sales_ymd）、顧客ID（customer_id）、商品コード（product_cd）、売上金額（amount）の順に列を指定し、以下の条件を満たすデータを抽出せよ。

* 顧客ID（customer_id）が""CS018205000001""
* 売上金額（amount）が1,000以上2,000以下
"
"link:ans_preprocess_knock_SQL.html#s-008[S-008,window=ANS100]","行に対する操作","不一致","・特定条件に合致しない行を抽出する（!=）","★","レシート明細テーブル（receipt）から売上日（sales_ymd）、顧客ID（customer_id）、商品コード（product_cd）、売上金額（amount）の順に列を指定し、以下の条件を満たすデータを抽出せよ

* 顧客ID（customer_id）が""CS018205000001""
* 商品コード（product_cd）が""P071401019""以外
"
"link:ans_preprocess_knock_SQL.html#s-009[S-009,window=ANS100]","行に対する操作","補集合","・AND、ORで抽出される結果の補集合を取得する","★","以下の処理において、出力結果を変えずにORをANDに書き換えよ。

[source,SQL]
....
select * from store where not (prefecture_cd = '13' or floor_area > 900)
...."
"link:ans_preprocess_knock_SQL.html#s-010[S-010,window=ANS100]","あいまい条件","前方一致","・データの前方一致で条件指定する","★","店舗テーブル（store）から、店舗コード（store_cd）が""S14""で始まるものだけ全項目抽出し、10件だけ表示せよ。"
"link:ans_preprocess_knock_SQL.html#s-011[S-011,window=ANS100]","あいまい条件","後方一致","・データの後方一致で条件指定する","★","顧客テーブル（customer）から顧客ID（customer_id）の末尾が1のものだけ全項目抽出し、10件だけ表示せよ。"
"link:ans_preprocess_knock_SQL.html#s-012[S-012,window=ANS100]","あいまい条件","部分一致","・データの部分一致で条件指定する","★","店舗テーブル（store）から横浜市の店舗だけ全項目表示せよ。"
"link:ans_preprocess_knock_SQL.html#s-013[S-013,window=ANS100]","あいまい条件","前方一致","・正規表現の前方一致で条件指定する","★★","顧客テーブル（customer）から、ステータスコード（status_cd）の先頭がアルファベットのA〜Fで始まるデータを全項目抽出し、10件だけ表示せよ。"
"link:ans_preprocess_knock_SQL.html#s-014[S-014,window=ANS100]","あいまい条件","後方一致","・正規表現の後方一致で条件指定する","★★","顧客テーブル（customer）から、ステータスコード（status_cd）の末尾が数字の1〜9で終わるデータを全項目抽出し、10件だけ表示せよ。"
"link:ans_preprocess_knock_SQL.html#s-015[S-015,window=ANS100]","あいまい条件","部分一致","・正規表現の部分一致で条件指定する","★★","顧客テーブル（customer）から、ステータスコード（status_cd）の先頭がアルファベットのA〜Fで始まり、末尾が数字の1〜9で終わるデータを全項目抽出し、10件だけ表示せよ。"
"link:ans_preprocess_knock_SQL.html#s-016[S-016,window=ANS100]","あいまい条件","フォーマット一致","・特定のデータ書式で条件指定する","★★","店舗テーブル（store）から、電話番号（tel_no）が3桁-3桁-4桁のデータを全項目表示せよ。"
"link:ans_preprocess_knock_SQL.html#s-017[S-017,window=ANS100]","ソート","並び替え","・データを昇順に並べる","★","顧客テーブル（customer）を生年月日（birth_day）で高齢順にソートし、先頭10件を全項目表示せよ。"
"link:ans_preprocess_knock_SQL.html#s-018[S-018,window=ANS100]","ソート","並び替え","・データを降順に並べる","★","顧客テーブル（customer）を生年月日（birth_day）で若い順にソートし、先頭10件を全項目表示せよ。"
